genus,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode08,barcode09,barcode10,barcode11,barcode12,barcode14,barcode15,barcode16,barcode19,barcode20,barcode21,total,superkingdom,kingdom,phylum,class,order,family,tax
Bryobacter,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Bacteria,Bacteria_none,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bacteria;Bacteria_none;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter
Aridibacter,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Bacteria,Bacteria_none,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter
Blastocatella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Bacteria,Bacteria_none,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella
Blastocatellaceae_uncultured,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Bacteria,Bacteria_none,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatellaceae_uncultured
JGI 0001001-H03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Bacteria,Bacteria_none,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI 0001001-H03
Stenotrophobacter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bacteria,Bacteria_none,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter
RB41,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Bacteria,Bacteria_none,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Bacteria;Bacteria_none;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41
Unclassified_Vicinamibacteraceae,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Bacteria,Bacteria_none,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Bacteria;Bacteria_none;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae
Unclassified_Vicinamibacterales_uncultured,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Bacteria,Bacteria_none,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacterales_uncultured,Bacteria;Bacteria_none;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacterales_uncultured;Unclassified_Vicinamibacterales_uncultured
Iamia,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Bacteria,Bacteria_none,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia
Ilumatobacteraceae_uncultured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Bacteria,Bacteria_none,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacteraceae_uncultured
Actinomyces,0.0,0.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,Bacteria,Bacteria_none,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
